Unnamed: 0.1,Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
100,100,2025-04-01 08:00:00,CST-001,99002,Digital-to-Analog Converter,1,"Ceramic, Titanium",Vendor D,500,18 weeks,Medium,External,B.2,Quartz Fabrication,SEMI S234,Plasma Resonance Frequency Test,Provided by vendor,Level 1,171.0,Custom packaging,"RoHS, REACH",-,208.0
0,87,2023-01-01 08:00:00,NANO-002,11223,System for controlling gas flow rates,1,"Copper, Ceramic",Vendor Q,11585,8 weeks,Medium,External,B.1,PLD Integration,SEMI S567,Mass Spectrometry Test,Provided by vendor,Level 2,150.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,19.0
100,0,2024-06-01 08:00:00,MIR-001,11223,Fourier Transform Spectrometer Module,1,"Silicon, Aluminum",Vendor I,500,8 weeks,Medium,External,A.2,SPS Integration,SEMI S567,Performance Test,Provided by vendor,Level 1,58.0,Custom packaging,"RoHS, REACH",-,62.0
20,17,2030-02-01 08:00:00,GFMS-002,11223,Ultrasonic Testing System,1,Aluminum,Vendor R,30000,14 weeks,Medium,External,A.2,Gas Supply System Assembly,SEMI S345,Mass Resolution Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,137.0
0,25,2026-03-01 08:00:00,DTP-001,84697,Plasma Control System,1,"Silicon, Plastic",Vendor U,30000,8 weeks,Medium,External,A.3,Hydrogen Activation Process,ISO 9001,Temperature Stability Test,Provided by vendor,Level 2,60.0,Custom packaging,"RoHS, REACH",-,240.0
100,92,2026-06-01 08:00:00,PCB-002,99002,Liquid Delivery System,1,"Silicon, Plastic",Vendor H,14612,6 weeks,High,External,A.2,LSM Integration,SEMI S234,Spectral Analysis Test,Provided by vendor,Level 1,168.0,Custom crate,"RoHS, REACH",-,240.0
24,100,2023-09-01 08:00:00,DAC-002,44756,Pulse Width Modulation Controller,1,"Titanium, Silicon",Vendor V,7452,8 weeks,High,External,A.1,EMF Integration,ISO 9001,Robotic Tests,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during handling,8.0
92,12,2029-09-01 08:00:00,MEMS-002,11223,Specialized chamber for etching process,1,Brass,Vendor F,500,14 weeks,High,External,A.2,"Lamp Assembly, Testing",SEMI S234,Spectral Analysis Test,Provided by vendor,Level 2,164.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,8.0
100,22,2023-04-01 08:00:00,CST-001,42292,Photolithography Enhancement Unit,1,Inconel,Vendor VV,28905,20 weeks,Medium,External,B.2,Ultrasonic Testing Integration,SEMI S567,Remote Monitoring Tests,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,29.0
100,0,2024-07-01 08:00:00,HFS-001,99002,Coolant Pump for Closed-loop System,1,"Titanium, Silicon",Vendor AAA,500,12 weeks,Low,External,A.1,ESR Integration,SEMI S345,Spectral Resolution Test,Provided by vendor,Level 1,177.0,Custom crate,"RoHS, REACH",-,39.0
61,8,2025-08-01 08:00:00,HGA-001,98909,Fourier Transform Infrared Spectroscopy Module,1,Brass,Vendor F,500,16 weeks,Medium,External,A.1,Sensing Device Assembly,SEMI S234,Resolution Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,8.0
76,45,2027-11-01 08:00:00,IMS-002,11223,Precision temperature control,1,"Stainless Steel, Plastic",Vendor JJ,500,6 weeks,Medium,External,B.1,Advanced Plasma Generation,SEMI S567,Resolution Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,213.0
0,89,2026-10-01 08:00:00,EMF-002,11223,Ion Implantation Module,1,"Ceramic, Titanium",Vendor F,19796,8 weeks,Medium,External,A.2,LBC Integration,SEMI S234,Cleaning Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,43.0
100,4,2025-12-01 08:00:00,CHM-001,39860,Pulse Width Modulation Controller,1,Plastic,Vendor F,500,8 weeks,Medium,External,A.3,CNC Machining,SEMI S456,Resolution Test,Provided by vendor,Level 1,27.0,Custom crate,"RoHS, REACH",-,8.0
98,67,2028-04-01 08:00:00,VAL-002,75407,Pulse Width Modulation Controller,1,Zinc Selenide,Vendor L,30000,10 weeks,Medium,External,A.1,Photolithography Integration,SEMI S234,Gas Flow Stability Test,Provided by vendor,Level 2,143.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,88.0
100,100,2028-10-01 08:00:00,DAS-002,67672,Coolant Pump for Closed-loop System,1,Ceramic,Vendor D,12587,12 weeks,Medium,External,A.2,LSM Integration,SEMI S567,Gas Purity Analysis,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,180.0
100,100,2027-09-01 08:00:00,MIR-001,31721,High-Voltage Supply,1,Carbon Composite,Vendor N,12534,22 weeks,Medium,External,A.1,PAS Integration,SEMI S345,Gas Purity Analysis,Provided by vendor,Level 1,52.0,Custom packaging,"RoHS, REACH",-,240.0
25,70,2025-04-01 08:00:00,FTIR-001,94250,High-Pressure System,1,"Titanium, Glass",Vendor AAA,500,6 weeks,Medium,External,A.2,Thermal Evaporation Process,SEMI S234,Dielectric Barrier Discharge Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,199.0
0,93,2028-09-01 08:00:00,DAC-002,72780,RF Generator and Electrostatic Chuck Assembly,1,Ceramic,Vendor Z,30000,12 weeks,High,External,A.2,RMS Integration,SEMI S567,Resolution Test,Provided by vendor,Level 1,37.0,Custom crate,"RoHS, REACH",-,39.0
61,18,2026-12-01 08:00:00,HFS-001,65143,Liquid Chromatography Unit,1,"Silicon, Copper",Vendor A,500,15 weeks,Medium,External,A.2,Coil Assembly,SEMI S123,Electrical Safety Tests,Provided by vendor,Level 2,116.0,Custom packaging,"RoHS, REACH",-,33.0
100,46,2023-02-01 08:00:00,PAS-002,95593,Low-Pressure Chamber Module,1,"Gold, Polymer",Vendor K,500,15 weeks,Medium,External,B.2,Ion Implantation Process,SEMI S234,Beam Collimation Accuracy Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,84.0
16,100,2029-12-01 08:00:00,CMP-002,99002,High-Energy Accelerator,1,Plastic,Vendor E,30000,10 weeks,Medium,External,A.1,Gas Supply System Assembly,SEMI S789,Robotic Tests,Provided by vendor,Level 1,66.0,Custom crate,"RoHS, REACH",Safety interlocks during lid opening,34.0
78,65,2029-07-01 08:00:00,NEW-001,11223,Ion Milling System,1,Aluminum Alloy,Vendor S,30000,6 weeks,High,External,A.2,PMS Integration,ISO 9001,Activation Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,196.0
100,78,2025-02-01 08:00:00,LPC-002,84070,Plasma Resonance Analyzer,1,"Silicon, Copper",Vendor RR,671,12 weeks,High,External,B.1,Electronics Integration,SEMI S567,Acoustic Wave Control Test,Provided by vendor,Level 1,181.0,Custom packaging,"RoHS, REACH",-,27.0
93,81,2029-04-01 08:00:00,SPA-001,66546,High-voltage power supply,1,"Silicon, Glass",Vendor K,10907,8 weeks,Medium,External,A.1,MEMS Fabrication,SEMI S345,Leak Test,Provided by vendor,Level 2,99.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,35.0
25,32,2025-07-01 08:00:00,UTS-002,17498,Remote Plasma Inspection Unit,1,"Aluminum, Glass",Vendor W,500,8 weeks,High,External,B.2,HEA Integration,SEMI S234,Beam Collimation Accuracy Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,63.0
35,39,2029-10-01 08:00:00,HGA-001,28193,Chiller for Cooling System,1,Stainless Steel,Vendor F,30000,14 weeks,High,External,A.2,Integration of Components,SEMI S567,Electrical Safety Tests,Provided by vendor,Level 1,124.0,Custom crate,"RoHS, REACH",-,28.0
0,76,2023-11-01 08:00:00,MFM-002,11223,Thermal Stability Probe,1,Electronic Components,Vendor V,30000,15 weeks,Medium,External,B.2,PRA Integration,SEMI S567,Pressure Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,39,2023-11-01 08:00:00,CAL-001,99002,Pulsed Laser Deposition Unit,1,"Copper, Silicon",Vendor GG,30000,10 weeks,Medium,External,A.1,PAS Integration,ISO 14001,Purification Efficiency Test,Provided by vendor,Level 2,19.0,Custom packaging,"RoHS, REACH",Safety interlocks during lid opening,106.0
13,11,2026-10-01 08:00:00,EDA-001,11223,Plasma Monitoring System,1,"Polyethylene, Aluminum",Vendor KK,500,10 weeks,High,External,A.2,CSU Integration,SEMI S678,Coating Uniformity Test,Provided by vendor,Level 2,157.0,Custom packaging,"RoHS, REACH",-,114.0
85,100,2023-12-01 08:00:00,WLS-002,99002,Plasma Power Supply,1,"Copper, Silicon",Vendor LL,500,14 weeks,Medium,External,B.2,AFM Integration,SEMI S345,Helium Leak Test,Provided by vendor,Level 1,173.0,Custom crate,"RoHS, REACH",-,240.0
0,65,2028-02-01 08:00:00,HPS-002,91657,Coolant Pump for Closed-loop System,1,"Silicon, Copper",Vendor YY,23027,12 weeks,High,External,A.1,FTS Integration,SEMI S234,Visual Inspection,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
24,46,2029-10-01 08:00:00,CMP-002,61342,Fourier Transform Infrared Spectroscopy Module,1,"Aluminum, Glass",Vendor B,18581,8 weeks,Low,External,B.2,LVD Assembly,SEMI S123,Software Testing,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,8.0
39,69,2024-06-01 08:00:00,GC-003,99002,Radio Frequency Quadrupole Unit,1,Stainless Steel,Vendor RR,29409,8 weeks,Medium,External,A.1,ESR Integration,SEMI S678,Separation Efficiency Test,Provided by vendor,Level 2,38.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,80.0
100,69,2029-11-01 08:00:00,RFI-002,11223,Gas purification and filtration,1,"Aluminum Alloy, Glass",Vendor U,500,12 weeks,Medium,External,A.1,HEA Integration,SEMI S234,Flow Rate Test,Provided by vendor,Level 1,52.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,77.0
9,100,2026-08-01 08:00:00,LC-002,74969,Control System Unit,1,"Aluminum, Optical Glass",Vendor K,500,8 weeks,Medium,External,B.1,RMS Integration,ISO 9001,Gas Purity Analysis,Provided by vendor,Level 1,20.0,Custom packaging,"RoHS, REACH",-,240.0
36,60,2030-06-01 08:00:00,UTS-002,11223,Lid for chamber,1,Tungsten,Vendor VV,500,16 weeks,High,External,A.3,SPS Integration,SEMI S678,Electrical Safety Tests,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,72.0
0,100,2029-07-01 08:00:00,PCU-002,42384,Atmospheric Pressure Sensor,1,"Silicon, Aluminum",Vendor C,30000,20 weeks,Medium,External,A.2,Advanced Plasma Generation,SEMI S345,Terahertz Wave Analysis,Provided by vendor,Level 1,11.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,192.0
92,62,2028-03-01 08:00:00,TCU-002,16422,High-Energy Accelerator,1,"Polyethylene, Aluminum",Vendor B,500,12 weeks,Medium,External,A.1,EMS Integration,SEMI S234,Spectral Analysis Test,Provided by vendor,Level 2,140.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,203.0
18,77,2023-10-01 08:00:00,FTS-001,11223,Hydrogen Gas Activation Unit,1,Mercury Vapor,Vendor P,18048,10 weeks,Medium,External,A.2,CCD Integration,SEMI S234,Atmospheric Control Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during handling,78.0
100,100,2025-02-01 08:00:00,ION-002,99002,Ion Milling System,1,"Aluminum, Glass",Vendor G,30000,6 weeks,Medium,External,A.1,Sampling System Assembly,SEMI S345,Pressure Test,Provided by vendor,Level 1,200.0,Custom crate,"RoHS, REACH",-,146.0
97,14,2023-09-01 08:00:00,IMS-002,11223,Plasma Control Software System,1,"Quartz, Plastic",Vendor U,500,8 weeks,Medium,External,A.3,ACU Integration,SEMI S234,Electromagnetic Compatibility Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,151.0
97,100,2024-08-01 08:00:00,HFS-001,11223,Liquid Chromatography Unit,1,"Stainless Steel, Plastic",Vendor EEE,30000,4 weeks,High,External,A.1,AFR Integration,SEMI S345,Purification Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during lid opening,240.0
13,100,2028-09-01 08:00:00,CHM-001,42470,Scanning Probe Microscopy System,1,Stainless Steel,Vendor D,2325,4 weeks,Medium,External,A.3,MFM Integration,SEMI S345,Beam Collimation Accuracy Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,87.0
0,70,2027-05-01 08:00:00,ACP-001,36661,High-voltage power supply,1,Stainless Steel,Vendor Q,9309,12 weeks,High,External,B.2,Valve Assembly,SEMI S234,Electromagnetic Compatibility Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
0,14,2027-07-01 08:00:00,MSI-001,73861,Charge-Coupled Device Camera,1,"Ferrite, Copper",Vendor TT,500,8 weeks,Medium,External,A.2,CNC Machining,SEMI S456,Coating Uniformity Test,Provided by vendor,Level 2,26.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,133.0
100,100,2026-04-01 08:00:00,GC-003,72561,Photolithography Enhancement Unit,1,"Titanium, Glass",Vendor Z,19508,20 weeks,High,External,B.1,CVL Integration,SEMI S234,Plasma Uniformity Test,Provided by vendor,Level 2,125.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,122.0
10,86,2027-10-01 08:00:00,PSU-002,24501,Chiller for Cooling System,1,Aluminum,Vendor E,15384,12 weeks,Medium,External,A.2,FTIR Spectroscopy Integration,SEMI S345,Ultrasonic Testing,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,240.0
35,100,2023-04-01 08:00:00,DIE-001,11223,Dynamic Temperature Profiler,1,Quartz,Vendor H,23613,10 weeks,High,External,B.2,MIR Spectroscopy Integration,SEMI S456,Flow Control Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,202.0
100,100,2023-01-01 08:00:00,CS-002,99002,High-voltage power supply,1,"Stainless Steel, Aluminum",Vendor TT,17736,4 weeks,Medium,External,B.1,HVM Integration,SEMI S234,Resonance Frequency Test,Provided by vendor,Level 1,16.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,226.0
98,100,2030-04-01 08:00:00,TSP-002,11223,Plasma Cleaning Brush Unit,1,Stainless Steel,Vendor H,500,8 weeks,High,External,A.3,FTIR Spectroscopy Integration,SEMI S456,Temperature Profile Test,Provided by vendor,Level 1,147.0,Custom crate,"RoHS, REACH",-,155.0
100,93,2030-06-01 08:00:00,VLC-002,11223,Gas purification and filtration,1,"Stainless Steel, Glass",Vendor WW,30000,8 weeks,Low,External,B.1,Electronic Assembly,SEMI S890,Thermal Control Tests,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,8.0
100,100,2025-12-01 08:00:00,GC-002,11223,Vacuum Leak Checker,1,"Titanium, Polypropylene",Vendor QQ,28197,6 weeks,Medium,External,A.2,Hydrogen Activation Process,SEMI S567,Data Accuracy Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,111.0
0,71,2029-02-01 08:00:00,HEA-002,11223,Time-of-Flight Mass Spectrometry Module,1,"Stainless Steel, Polyethylene",Vendor B,30000,10 weeks,High,External,A.3,Thermal Probe Assembly,SEMI S234,Vaporization Rate Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,198.0
97,21,2025-05-01 08:00:00,HVM-002,85813,Electrostatic Magnetic Field Module,1,Aluminum,Vendor TT,500,15 weeks,High,External,A.2,RMS Integration,SEMI S567,Spectral Analysis Test,Provided by vendor,Level 2,175.0,Custom packaging,"RoHS, REACH",-,240.0
100,64,2024-01-01 08:00:00,PPS-002,11223,Data Acquisition System,1,Optical Elements,Vendor XYZ,20302,18 weeks,Medium,External,A.2,Advanced Plasma Generation,SEMI S234,Functional Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,8.0
0,49,2029-10-01 08:00:00,DIE-001,11223,Atomic Force Microscope Attachment,1,"Glass, Quartz",Vendor II,500,12 weeks,Medium,External,A.2,CMP Technology,ISO 9001,Leak Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,240.0
33,47,2029-10-01 08:00:00,FTIR-001,99002,Remote Plasma Inspection Unit,1,Plastic,Vendor C,30000,4 weeks,Medium,External,A.1,RTS Integration,SEMI S567,Spectral Analysis Test,Provided by vendor,Level 2,95.0,Custom packaging,"RoHS, REACH",-,72.0
100,100,2028-12-01 08:00:00,CS-002,11223,Fourier Transform Spectrometer Module,1,"Copper, Ceramic",Vendor Q,1375,8 weeks,High,External,A.2,Injection Molding,SEMI S345,Resolution Test,Provided by vendor,Level 1,15.0,Custom crate,"RoHS, REACH",-,225.0
100,93,2027-01-01 08:00:00,FTIR-001,50906,Closed-loop coolant system,1,Stainless Steel,Vendor SS,15907,12 weeks,High,External,A.1,HEA Integration,SEMI S567,Ultrasonic Testing,Provided by vendor,Level 2,59.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
42,100,2024-06-01 08:00:00,GSU-001,99002,Scanning Probe Microscopy System,1,Stainless Steel,Vendor C,29070,20 weeks,High,External,A.3,Coating and Sputtering,SEMI S345,Electromagnetic Compatibility Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,151.0
14,100,2028-09-01 08:00:00,WHS-001,11223,Coating and Sputtering Tool,1,Aluminum,Vendor G,500,15 weeks,High,External,B.2,SPA Integration,ISO 14001,Evaporation Rate Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,195.0
80,0,2026-12-01 08:00:00,CLT-001,78732,Dynamic Temperature Profiler,1,"Copper, Ceramic",Vendor UU,500,12 weeks,High,External,A.2,Automated Loading,SEMI S345,Thermal Control Tests,Provided by vendor,Level 1,147.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,56.0
84,0,2025-12-01 08:00:00,PSD-002,30778,Laser Spectroscopy Module,1,"Aluminum Alloy, Ceramic",Vendor P,8680,12 weeks,High,External,A.2,Coating and Sputtering,SEMI S456,Acoustic Wave Control Test,Provided by vendor,Level 1,159.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
84,93,2029-06-01 08:00:00,PCS-002,11223,Nanoparticle Deposition Module,1,"Aluminum, Glass",Vendor G,3388,8 weeks,Medium,External,A.2,DBD Integration,SEMI S345,Analog Signal Accuracy Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,172.0
14,36,2025-11-01 08:00:00,LPC-002,99002,Terahertz Spectroscopy Module,1,Stainless Steel,Vendor E,500,6 weeks,Medium,External,B.2,CPS Integration,ISO 9001,Cleaning Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,174.0
0,100,2024-02-01 08:00:00,PWM-001,11223,Fourier Transform Infrared Spectroscopy Module,1,"Copper, Ceramic",Vendor AAA,500,12 weeks,Medium,External,B.1,Thermoelectric Cooling,SEMI S567,Flow Control Tests,Provided by vendor,Level 2,61.0,Custom packaging,"RoHS, REACH",-,240.0
34,85,2029-09-01 08:00:00,TES-002,11223,Specialized chamber for etching process,1,Quartz,Vendor A,500,12 weeks,High,External,A.2,LDS Assembly,SEMI S567,Reactive Ionization Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,57.0
0,69,2026-12-01 08:00:00,PSU-002,20380,Reactive Mass Spectrometry Module,1,Stainless Steel,Vendor H,500,8 weeks,Low,External,A.2,Gas Supply System Assembly,SEMI S567,Performance Test,Provided by vendor,Level 1,6.0,Custom crate,"RoHS, REACH",-,72.0
75,75,2029-04-01 08:00:00,GDS-001,11223,Main chamber body,1,"Titanium, Glass",Vendor Z,500,14 weeks,Medium,External,A.1,Sensor Integration,SEMI S345,Gas Flow Stability Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,35.0
38,100,2030-01-01 08:00:00,DIE-001,23279,Mid-Infrared Spectroscopy Module,1,"Titanium, Silicon",Vendor E,30000,8 weeks,Medium,External,A.1,Filtration and Purification,SEMI S456,Gas Purity Analysis,Provided by vendor,Level 2,172.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,240.0
100,12,2025-12-01 08:00:00,LSM-002,11223,High-Pressure System,1,Aluminum Alloy,Vendor EE,6313,12 weeks,Medium,External,A.3,CPS Integration,SEMI S456,Magnetic Field Strength Test,Provided by vendor,Level 2,58.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,40.0
100,76,2023-11-01 08:00:00,PAS-002,47152,System for loading wafers into chamber,1,"Polyethylene, Aluminum",Vendor E,18947,14 weeks,Medium,External,A.1,TOF-MS Integration,SEMI S234,Terahertz Wave Analysis,Provided by vendor,Level 1,155.0,Custom crate,"RoHS, REACH",-,81.0
100,92,2023-07-01 08:00:00,PLD-001,28926,Laser Beam Collimation Unit,1,"Inconel, Polyurethane",Vendor BBB,30000,8 weeks,Medium,External,A.3,MAS Integration,SEMI S567,Resolution Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,117.0
0,86,2025-10-01 08:00:00,PCU-002,82347,Vacuum Sealing System,1,"Plastic, Aluminum",Vendor B,30000,12 weeks,High,External,A.1,Integration of Components,ISO 9001,Functional Tests,Provided by vendor,Level 1,167.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,118.0
13,49,2029-08-01 08:00:00,AFR-002,40736,RF Generator and Electrostatic Chuck Assembly,1,Stainless Steel,Vendor A,6370,14 weeks,Medium,External,B.2,Sensing Device Assembly,SEMI S345,Resolution Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,89.0
77,85,2025-09-01 08:00:00,GDS-001,11223,Valve for Gas Distribution,1,"Aluminum Alloy, Ceramic",Vendor TT,22915,4 weeks,High,External,B.2,Valve Assembly,ISO 14001,Analog Signal Accuracy Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,43.0
34,81,2023-05-01 08:00:00,PRA-001,81020,Acoustic Control Unit,1,"Silicon, Aluminum",Vendor J,500,22 weeks,Medium,External,B.1,CCD Integration,ISO 14001,Electrical Safety Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,240.0
100,100,2027-10-01 08:00:00,VLC-002,11223,High-Energy Accelerator,1,Ceramic,Vendor SS,30000,12 weeks,High,External,A.1,Sensing Device Assembly,ISO 9001,Deposition Uniformity Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,151.0
100,44,2026-02-01 08:00:00,ACU-002,99002,Acoustic Control Unit,1,Aluminum,Vendor FF,3892,8 weeks,Medium,External,A.1,SPS Integration,SEMI S678,Leak Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
100,20,2026-02-01 08:00:00,TCU-002,11223,System for loading wafers into chamber,1,"Glass, Quartz",Vendor D,500,20 weeks,High,External,A.2,ESR Integration,SEMI S345,Atmospheric Control Tests,Provided by vendor,Level 1,134.0,Digital delivery,"RoHS, REACH",-,42.0
92,0,2024-08-01 08:00:00,GC-002,99002,Charge-Coupled Device Camera,1,Aluminum Alloy,Vendor JJ,500,22 weeks,Medium,External,A.1,Photolithography Integration,SEMI S234,Remote Tuning Tests,Provided by vendor,Level 1,178.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,8.0
100,30,2027-03-01 08:00:00,CST-001,99002,High-Energy Accelerator,1,"Polyethylene, Silicon",Vendor V,30000,8 weeks,Medium,External,A.3,Electronic Assembly,SEMI S345,Electrical Safety Tests,Provided by vendor,Level 2,95.0,Custom crate,"RoHS, REACH",Safety interlocks during lid opening,148.0
100,85,2024-08-01 08:00:00,PHOTO-002,11223,Radio Frequency Quadrupole Unit,1,"Copper, Ceramic",Vendor E,500,6 weeks,Medium,External,A.3,ACU Integration,SEMI S234,Functional Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,27.0
18,100,2029-01-01 08:00:00,CPS-002,99002,Residual Gas Analyzer,1,"Titanium, Glass",Vendor D,9518,8 weeks,High,External,A.1,AFM Integration,SEMI S234,Ion Energy Distribution,Provided by vendor,Level 1,96.0,Custom crate,"RoHS, REACH",-,217.0
24,47,2025-09-01 08:00:00,FCM-002,99002,Lamp for Plasma Source,1,"Ferrite, Copper",Vendor EEE,500,6 weeks,High,External,A.3,LVD Assembly,SEMI S234,Gas Purity Analysis,Provided by vendor,Level 1,175.0,Custom crate,"RoHS, REACH",-,127.0
17,49,2029-04-01 08:00:00,MIR-001,83636,Gas Delivery Unit,1,"Aluminum Alloy, Ceramic",Vendor XYZ,500,12 weeks,Medium,External,A.2,RFS Integration,SEMI S567,Electrical Tests,Provided by vendor,Level 1,57.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,44.0
19,100,2025-05-01 08:00:00,FCM-002,99002,Ion source for plasma etching,1,Stainless Steel,Vendor F,16689,6 weeks,Low,External,A.2,DTP Integration,SEMI S567,Deposition Uniformity Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,151.0
100,24,2024-03-01 08:00:00,GC-003,11223,Cathode Voltage Limiter,1,"Ceramic, Silicon",Vendor G,29773,12 weeks,Low,External,A.3,Photolithography Integration,SEMI S789,Visual Inspection,Provided by vendor,Level 1,32.0,Custom packaging,"RoHS, REACH",-,216.0
58,90,2025-01-01 08:00:00,TSP-002,11223,Terahertz Spectroscopy Module,1,Stainless Steel,Vendor T,2337,12 weeks,Low,External,A.2,RFQ Integration,SEMI S678,Mass Resolution Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
100,76,2025-10-01 08:00:00,CS-002,27546,Mass Spectrometer Interface,1,"Ceramic, Polyurethane",Vendor K,15513,12 weeks,High,External,A.2,AFR Integration,SEMI S678,Spectral Resolution Test,Provided by vendor,Level 2,131.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
91,74,2025-07-01 08:00:00,LVD-001,13522,Robot arm and wafer chuck,1,"Electronic Components, Plastic",Vendor C,742,8 weeks,Medium,External,B.2,MFM Integration,SEMI S234,Pressure Uniformity Test,Provided by vendor,Level 1,125.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,163.0
35,100,2023-12-01 08:00:00,GC-002,25191,High-Flow Sampling System,1,"Stainless Steel, Glass",Vendor YY,7863,14 weeks,Medium,External,A.1,MIR Spectroscopy Integration,SEMI S234,Cooling Efficiency Test,Provided by vendor,Level 1,83.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,200.0
87,70,2024-09-01 08:00:00,GC-002,11223,Lid for chamber,1,Aluminum Alloy,Vendor E,8476,10 weeks,Medium,External,A.1,Leak Checker Assembly,ISO 14001,Leak Test,Provided by vendor,Level 2,158.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,170.0
100,100,2025-09-01 08:00:00,VS-002,11223,High-Voltage Modulator,1,"Quartz, Aluminum",Vendor XYZ,500,4 weeks,Medium,External,A.2,CPS Integration,SEMI S567,Microstructural Analysis,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
