Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Vacuum System;TCU-002;Gas purification and filtration;1;Stainless Steel;Vendor G;$10,000;20 weeks;Medium;External;A.2;Vacuum Technology;SEMI S678;Pressure Test;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor J;$15,000;18 weeks;Medium;External;A.1;Electronic Assembly;SEMI S345;Gas Purity Analysis;Provided by vendor;Level 1;200 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;CSS-002;RF Generator and Electrostatic Chuck Assembly;1;Software;Vendor G;$8,000;10 weeks;High;External;A.1;Software Development;SEMI S678;Robotic Tests;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Ion Source Assembly;TCU-002;System for controlling gas flow rates;1;Stainless Steel;Vendor L;$10,000;10 weeks;Medium;External;A.2;Integration of Components;SEMI S678;Vacuum Integrity Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;-
Vacuum System;PCU-002;Ion source for plasma etching;1;Electronic Components;Vendor O;$15,000;14 weeks;Medium;External;B.2;Laser Cutting, Assembly;SEMI S567;Temperature Stability Test;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;PSU-002;RF Generator and Electrostatic Chuck Assembly;1;Polypropylene;Vendor I;$15,000;16 weeks;High;External;A.1;Vacuum Technology;SEMI S345;Temperature Stability Test;Provided by vendor;Level 2;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Chamber Assembly;GFMS-002;Diagnostic tools for monitoring plasma;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Flow Rate Calibration;ISO 9001;Software Testing;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Cooling System;WHS-001;System for loading wafers into chamber;1;Polypropylene;Vendor M;$15,000;20 weeks;High;External;A.1;CNC Machining;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;GDS-001;Software system for process control;1;Titanium;Vendor J;$10,000;8 weeks;High;External;A.1;Robotic Assembly;ISO 9001;Temperature Stability Test;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;CS-002;Main chamber body;1;Electronic Components;Vendor Q;$8,000;10 weeks;High;External;A.2;Software Development;ISO 9001;Leak Test;Provided by vendor;Level 1;50 kg;Digital delivery;RoHS, REACH;-
Plasma Control Unit;WLS-002;Main chamber body;1;Software;Vendor D;$20,000;16 weeks;Medium;External;B.1;Vacuum Technology;SEMI S345;Diagnostics Performance Test;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Control Software System;CSS-002;Control system for plasma parameters;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Control Software System;LID-001;High-voltage power supply;1;Aluminum Alloy, Ceramic;Vendor I;$25,000;18 weeks;High;External;A.1;Electronic Assembly;ISO 9001;Visual Inspection;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Wafer Handling System;CHM-001;System for controlling gas flow rates;1;Aluminum Alloy;Vendor G;$8,000;20 weeks;High;External;A.2;CNC Machining;SEMI S678;Visual Inspection;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Cooling System;GDS-001;Closed-loop coolant system;1;Stainless Steel;Vendor E;$16,000;16 weeks;Medium;External;B.2;Thermoelectric Cooling;SEMI S456;Visual Inspection;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;PSU-002;Robot arm and wafer chuck;1;Inconel;Vendor D;$10,000;18 weeks;High;External;A.3;Electronic Assembly;ISO 9001;Electrical Tests;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;PSU-002;Main chamber body;1;Copper, Silicon;Vendor H;$25,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Software Testing;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Cooling System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$30,000;10 weeks;High;External;A.2;Vacuum Technology;SEMI S678;Gas Purity Analysis;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;-
Control Software System;GDS-001;System for loading wafers into chamber;1;Stainless Steel;Vendor P;$28,000;12 weeks;High;External;A.1;Laser Cutting, Assembly;SEMI S123;Gas Purity Analysis;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Power Supply Unit;GDS-001;Lid for chamber;1;Software;Vendor F;$8,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Leak Test;Provided by vendor;Level 2;100 kg;Digital delivery;RoHS, REACH;-
Wafer Handling System;CSS-002;Gas distribution manifold;1;Software;Vendor Q;$8,000;10 weeks;Medium;External;A.2;CNC Machining;SEMI S678;Gas Purity Analysis;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Gas Delivery System;TCU-002;Specialized chamber for etching process;1;Inconel;Vendor F;$30,000;14 weeks;Medium;External;A.1;Electronic Assembly;SEMI S234;Functional Tests;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Etching Chamber;ISA-002;System for controlling gas flow rates;1;Stainless Steel;Vendor N;$30,000;8 weeks;Medium;External;A.1;Vacuum Technology;SEMI S456;Leak Test;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;WHS-001;System for loading wafers into chamber;1;Stainless Steel;Vendor I;$30,000;14 weeks;High;External;B.2;Integration of Diagnostics;SEMI S234;Electrical Tests;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;-
Gas Delivery System;GPS-002;Gas purification and filtration;1;Software;Vendor H;$8,000;12 weeks;High;External;A.1;Software Development;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;45 kg;Custom packaging;RoHS, REACH;-
Control Software System;WLS-002;Software system for process control;1;Stainless Steel;Vendor Q;$10,000;12 weeks;High;External;A.1;Robotic Assembly;ISO 9001;Electrical Safety Tests;Provided by vendor;Level 1;50 kg;Digital delivery;RoHS, REACH;-
Gas Delivery System;GFMS-002;Gas purification and filtration;1;Software;Vendor A;$18,000;10 weeks;High;External;A.1;Software Development;SEMI S456;Functional Tests;Provided by vendor;Level 2;200 kg;Digital delivery;RoHS, REACH;-
Vacuum System;PDM-002;High-voltage power supply;1;Titanium;Vendor B;$8,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S123;Gas Flow Stability Test;Provided by vendor;Level 1;45 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;TCU-002;High-performance vacuum system;1;Stainless Steel;Vendor D;$30,000;20 weeks;Medium;External;A.2;Thermoelectric Cooling;SEMI S678;Robotic Tests;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;PSU-002;Specialized chamber for etching process;1;Copper, Silicon;Vendor H;$12,000;10 weeks;Medium;External;A.1;CNC Machining, Welding;SEMI S345;Software Testing;Provided by vendor;Level 1;45 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;GDS-001;System for controlling gas flow rates;1;Stainless Steel;Vendor G;$15,000;15 weeks;Medium;External;B.1;Thermoelectric Cooling;SEMI S789;Vacuum Integrity Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Cooling System;ISA-002;Robot arm and wafer chuck;1;Stainless Steel;Vendor I;$15,000;10 weeks;High;External;A.2;CNC Machining, Welding;SEMI S678;Helium Leak Test;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;-
Vacuum System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor F;$20,000;14 weeks;Medium;External;B.1;Thermoelectric Cooling;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;ISA-002;High-voltage power supply;1;Copper, Silicon;Vendor D;$5,000;12 weeks;Medium;External;B.2;Quartz Fabrication;SEMI S345;Functional Tests;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Lid Assembly;GPS-002;High-voltage power supply;1;Copper, Silicon;Vendor M;$15,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S234;Helium Leak Test;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;VS-002;High-performance vacuum system;1;Quartz;Vendor B;$10,000;10 weeks;High;External;B.1;Integration of Diagnostics;SEMI S789;Gas Flow Stability Test;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;-
Control Software System;LID-001;Control system for plasma parameters;1;Polypropylene;Vendor B;$25,000;8 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Leak Test;Provided by vendor;Level 2;40 kg;Custom packaging;RoHS, REACH;-
Lid Assembly;EC-002;High-performance vacuum system;1;Stainless Steel;Vendor O;$5,000;15 weeks;Medium;External;A.1;Vacuum Technology;SEMI S789;Functional Tests;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;GFMS-002;Specialized chamber for etching process;1;Aluminum Alloy;Vendor G;$18,000;14 weeks;High;External;A.1;Automated Loading;SEMI S456;Software Testing;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Plasma Diagnostics Module;PSU-002;Software system for process control;1;Copper, Silicon;Vendor Q;$25,000;10 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Visual Inspection;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Chamber Assembly;EC-002;High-performance vacuum system;1;Stainless Steel;Vendor C;$8,000;10 weeks;High;External;A.2;Precision Machining;SEMI S789;Robotic Tests;Provided by vendor;Level 2;60 kg;Digital delivery;RoHS, REACH;-
Control Software System;CHM-001;Lid for chamber;1;Inconel;Vendor H;$25,000;16 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;VS-002;High-performance vacuum system;1;Various;Vendor O;$12,000;14 weeks;Medium;External;A.3;Flow Rate Calibration;SEMI S234;Electrical Tests;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Flow Management System;PSU-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$15,000;8 weeks;Medium;External;B.1;Integration of Diagnostics;SEMI S567;Gas Flow Stability Test;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;PSU-002;System for controlling gas flow rates;1;Software;Vendor Q;$8,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;CNC Machining, Welding;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Plasma Diagnostics Module;TCU-002;System for loading wafers into chamber;1;Various;Vendor P;$15,000;16 weeks;High;External;A.1;Electronic Assembly;SEMI S890;Electrical Tests;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor I;$28,000;20 weeks;High;External;B.1;Quartz Fabrication;SEMI S234;Gas Flow Stability Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;VS-002;High-performance vacuum system;1;Titanium;Vendor P;$15,000;12 weeks;Medium;External;A.1;Robotic Assembly;SEMI S234;Leak Test;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;TCU-002;Ion source for plasma etching;1;Stainless Steel;Vendor A;$15,000;22 weeks;High;External;A.3;Quartz Fabrication;SEMI S234;Functional Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;CHM-001;Main chamber body;1;Software;Vendor Q;$8,000;16 weeks;Medium;External;A.2;Software Development;SEMI S678;Software Testing;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Etching Chamber;WLS-002;RF Generator and Electrostatic Chuck Assembly;1;Inconel;Vendor B;$10,000;15 weeks;Medium;External;A.3;Integration of Diagnostics;SEMI S789;Robotic Tests;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;PDM-002;Control system for plasma parameters;1;Polypropylene;Vendor K;$30,000;10 weeks;Medium;External;B.1;Robotic Assembly;SEMI S234;Leak Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Plasma Diagnostics Module;PDM-002;High-voltage power supply;1;Titanium;Vendor C;$20,000;18 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S345;Helium Leak Test;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;PSA-001;Software system for process control;1;Stainless Steel;Vendor E;$18,000;12 weeks;High;External;A.1;Flow Rate Calibration;SEMI S123;Pressure Test;Provided by vendor;Level 1;45 kg;Digital delivery;RoHS, REACH;-
Plasma Diagnostics Module;PSU-002;RF Generator and Electrostatic Chuck Assembly;1;Titanium;Vendor I;$10,000;8 weeks;Medium;External;A.3;CNC Machining;SEMI S567;Gas Purity Analysis;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Cooling System;ISA-002;Gas purification and filtration;1;Stainless Steel;Vendor N;$10,000;10 weeks;Medium;External;A.1;Precision Machining;SEMI S678;Functional Tests;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;PSU-002;Software system for process control;1;Polypropylene;Vendor N;$5,000;12 weeks;Medium;External;B.2;Flow Rate Calibration;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Power Supply Unit;PCU-002;High-voltage power supply;1;Software;Vendor H;$25,000;8 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PDM-002;Specialized chamber for etching process;1;Stainless Steel;Vendor L;$16,000;18 weeks;High;External;A.3;Electronic Assembly;SEMI S890;Temperature Stability Test;Provided by vendor;Level 2;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;CSS-002;Gas distribution manifold;1;Stainless Steel;Vendor Q;$30,000;14 weeks;High;External;A.1;CNC Machining;SEMI S567;Temperature Stability Test;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;-
Etching Chamber;GPS-002;Ion source for plasma etching;1;Various;Vendor P;$25,000;14 weeks;Medium;External;A.3;Vacuum Technology;SEMI S234;Mass Spectrometry Test;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Plasma Diagnostics Module;PSU-002;Robot arm and wafer chuck;1;Polypropylene;Vendor H;$25,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during handling
Gas Purification System;PSA-001;High-voltage power supply;1;Aluminum Alloy;Vendor H;$15,000;8 weeks;High;External;A.1;CNC Machining;SEMI S345;Temperature Stability Test;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;PSU-002;Gas purification and filtration;1;Electronic Components;Vendor Q;$25,000;8 weeks;Medium;External;A.1;Software Development;SEMI S456;Electrical Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;WLS-002;Robot arm and wafer chuck;1;Titanium;Vendor G;$15,000;15 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Gas Flow Stability Test;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;WHS-001;Precision temperature control;1;Copper, Silicon;Vendor B;$10,000;12 weeks;High;External;A.1;CNC Machining;SEMI S789;Leak Test;Provided by vendor;Level 1;80 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;ISA-002;High-voltage power supply;1;Titanium;Vendor L;$30,000;8 weeks;Medium;External;B.1;Automated Loading;SEMI S567;Electrical Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;VS-002;Gas purification and filtration;1;Software;Vendor B;$18,000;18 weeks;High;External;A.2;Automated Loading;SEMI S456;Visual Inspection;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;GPS-002;High-voltage power supply;1;Copper, Silicon;Vendor H;$10,000;20 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;WHS-001;Control system for plasma parameters;1;Aluminum Alloy, Ceramic;Vendor K;$10,000;12 weeks;Medium;External;A.3;Integration of Components;SEMI S456;Robotic Tests;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Chamber Assembly;CHM-001;Ion source for plasma etching;1;Stainless Steel;Vendor L;$18,000;16 weeks;High;External;B.2;Quartz Fabrication;SEMI S678;Temperature Stability Test;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;CHM-001;High-voltage power supply;1;Aluminum Alloy, Ceramic;Vendor F;$15,000;8 weeks;High;External;B.1;Filtration and Purification;SEMI S567;Functional Tests;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;GPS-002;High-voltage power supply;1;Electronic Components;Vendor Q;$5,000;14 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;PDM-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$16,000;12 weeks;High;External;B.1;Integration of Diagnostics;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;ISA-002;Precision temperature control;1;Various;Vendor P;$20,000;14 weeks;Medium;External;B.1;Thermoelectric Cooling;SEMI S890;Temperature Stability Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;PSA-001;High-voltage power supply;1;Various;Vendor D;$28,000;22 weeks;High;External;A.3;Robotic Assembly;SEMI S234;Electrical Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Purification System;LID-001;Diagnostic tools for monitoring plasma;1;Inconel;Vendor H;$25,000;14 weeks;Medium;External;A.1;CNC Machining, Welding;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;LID-001;Ion source for plasma etching;1;Stainless Steel;Vendor A;$30,000;12 weeks;Medium;External;B.1;Vacuum Technology;SEMI S567;Electrical Tests;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;-
Control Software System;PSU-002;Main chamber body;1;Aluminum Alloy;Vendor I;$25,000;8 weeks;High;External;A.1;Thermoelectric Cooling;ISO 9001;Software Testing;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;-
Control Software System;PSU-002;High-voltage power supply;1;Stainless Steel;Vendor K;$25,000;10 weeks;High;External;A.1;Robotic Assembly;SEMI S456;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Control Software System;CSS-002;Software system for process control;1;Stainless Steel;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;SEMI S345;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Plasma Source Assembly;PDM-002;High-voltage power supply;1;Titanium;Vendor F;$20,000;12 weeks;Medium;External;B.1;Filtration and Purification;SEMI S345;Leak Test;Provided by vendor;Level 1;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;PDM-002;High-voltage power supply;1;Software;Vendor L;$22,000;15 weeks;Medium;External;A.3;Laser Cutting, Assembly;SEMI S234;Mass Spectrometry Test;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Lid Assembly;GFMS-002;Lid for chamber;1;Quartz;Vendor N;$8,000;10 weeks;Medium;External;B.2;CNC Machining, Welding;SEMI S234;Software Testing;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Cooling System;PSU-002;Lid for chamber;1;Aluminum Alloy;Vendor Q;$8,000;12 weeks;High;External;A.1;Software Development;SEMI S345;Visual Inspection;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;-
Plasma Source Assembly;PCU-002;Gas distribution manifold;1;Stainless Steel;Vendor L;$20,000;14 weeks;Medium;External;B.1;Vacuum Technology;SEMI S678;Temperature Stability Test;Provided by vendor;Level 2;70 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Lid Assembly;GDS-001;Closed-loop coolant system;1;Stainless Steel;Vendor G;$16,000;10 weeks;Medium;External;A.2;CNC Machining;SEMI S789;Mass Spectrometry Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;-
Vacuum System;EC-002;High-performance vacuum system;1;Stainless Steel;Vendor H;$30,000;20 weeks;High;External;A.3;Vacuum Technology;SEMI S567;Gas Purity Analysis;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;LID-001;Gas distribution manifold;1;Stainless Steel;Vendor N;$30,000;15 weeks;Medium;External;B.2;CNC Machining;SEMI S567;Temperature Stability Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Wafer Handling System;CHM-001;Diagnostic tools for monitoring plasma;1;Stainless Steel;Vendor N;$18,000;18 weeks;High;External;A.1;Software Development;SEMI S345;Leak Test;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Chamber Assembly;GDS-001;Specialized chamber for etching process;1;Quartz;Vendor J;$10,000;14 weeks;Medium;External;A.3;CNC Machining, Welding;SEMI S234;Robotic Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Etching Chamber;PDM-002;System for controlling gas flow rates;1;Stainless Steel;Vendor L;$20,000;14 weeks;Medium;External;A.2;Flow Rate Calibration;SEMI S234;Robotic Tests;Provided by vendor;Level 1;50 kg;Digital delivery;RoHS, REACH;-
Cooling System;ISA-002;Gas purification and filtration;1;Aluminum Alloy, Ceramic;Vendor G;$8,000;20 weeks;Medium;External;B.1;CNC Machining;SEMI S123;Functional Tests;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;-
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;12 weeks;High;External;A.1;CNC Machining;ISO 9001;Software Testing;Provided by vendor;Level 1;30 kg;Digital delivery;RoHS, REACH;-
Power Supply Unit;TCU-002;High-performance vacuum system;1;Copper, Silicon;Vendor P;$15,000;8 weeks;High;External;A.1;Automated Loading;ISO 9001;Electrical Safety Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Plasma Control Unit;GFMS-002;Software system for process control;1;Quartz;Vendor C;$8,000;8 weeks;Medium;External;B.2;Integration of Components;SEMI S678;Gas Flow Stability Test;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;-
Cooling System;CHM-001;System for loading wafers into chamber;1;Titanium;Vendor I;$30,000;16 weeks;High;External;A.2;Automated Loading;SEMI S678;Leak Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;PSU-002;High-voltage power supply;1;Aluminum Alloy, Ceramic;Vendor L;$28,000;12 weeks;High;External;A.3;Integration of Diagnostics;SEMI S234;Electrical Safety Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Control Unit;PSU-002;RF Generator and Electrostatic Chuck Assembly;1;Aluminum Alloy, Ceramic;Vendor I;$25,000;15 weeks;High;External;A.3;Laser Cutting, Assembly;SEMI S789;Diagnostics Performance Test;Provided by vendor;Level 1;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PSU-002;Precision temperature control;1;Various;Vendor O;$20,000;14 weeks;Medium;External;A.3;Integration of Components;SEMI S345;Gas Flow Stability Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Lid Assembly;LID-001;Precision temperature control;1;Various;Vendor F;$20,000;15 weeks;High;External;B.2;Electronic Assembly;SEMI S890;Temperature Stability Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;ISA-002;RF Generator and Electrostatic Chuck Assembly;1;Titanium;Vendor D;$10,000;16 weeks;High;External;A.2;Laser Cutting, Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;CHM-001;High-performance vacuum system;1;Stainless Steel;Vendor B;$18,000;16 weeks;Medium;External;A.1;Robotic Assembly;SEMI S678;Gas Purity Analysis;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;50 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Cooling System;GFMS-002;Gas purification and filtration;1;Software;Vendor G;$16,000;10 weeks;Medium;External;A.2;CNC Machining;ISO 9001;Functional Tests;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Plasma Diagnostics Module;GPS-002;Lid for chamber;1;Electronic Components;Vendor F;$15,000;16 weeks;Medium;External;A.1;Quartz Fabrication;ISO 9001;Software Testing;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;-
Chamber Assembly;VS-002;High-voltage power supply;1;Copper, Silicon;Vendor H;$15,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;PSA-001;Software system for process control;1;Aluminum Alloy;Vendor K;$15,000;15 weeks;High;External;A.1;Integration of Components;SEMI S456;Gas Flow Stability Test;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
